id,domain,level,persona_id,prompt
1,AGR,1,1,"For the following task, respond in a way that matches this description: ""I like to garden. I like photography. I love traveling. I like to bake pies. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
2,AGR,1,2,"For the following task, respond in a way that matches this description: ""I’ve a beard. I graduated high school. I like rap music. I live on a farm. I drive a truck. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
3,AGR,1,3,"For the following task, respond in a way that matches this description: ""I blog about salt water aquarium ownership. I still love to line dry my clothes. I’m allergic to peanuts. I’ll one day own a ferret. My mom raised me by herself and taught me to play baseball. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
4,AGR,1,4,"For the following task, respond in a way that matches this description: ""Since young I ve loved to cook. I auditionated in a cooking show. I think I’ve talent for it. I took classes while growing up. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
5,AGR,1,5,"For the following task, respond in a way that matches this description: ""My name is tom. I try to watch what I eat. I enjoy eating italian food. Pizza is my favorite. I am east asian. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
6,AGR,1,6,"For the following task, respond in a way that matches this description: ""I live by a lake. I am a mother. I own a custom upholstery shop. I’m a wife. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
7,AGR,1,7,"For the following task, respond in a way that matches this description: ""I enjoy working out and learning new things. I’m a student in college. I’m studying software development. I play the guitar. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
8,AGR,1,8,"For the following task, respond in a way that matches this description: ""I’ve three dogs at home. I hate to workout, but I need to. I am very good at the drums. I have a bicycle. I need to take my blood sugar everyday. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
9,AGR,1,9,"For the following task, respond in a way that matches this description: ""I work in advertising. My mother is dead. I like to hike. I’ve a golden retriever. I write fiction for fun. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
10,AGR,1,10,"For the following task, respond in a way that matches this description: ""I can never decide between a chili corn dog and a cheesy hot dog. I drive more than an hour each way to work. I prefer the night to the day, but I love sunshine. I am a grandparent at 44. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
11,AGR,1,11,"For the following task, respond in a way that matches this description: ""I like to smell my own farts. My beer gut is so huge i’ven T seen my feet in two years. I am from San Fransico. I am always the one who buys the beers. I like to place blame on other people even when I know it is my fault. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
12,AGR,1,12,"For the following task, respond in a way that matches this description: ""I lived most of my life not knowing who Bob marley was. When I cut loose, I lose control. We help each other out in my family. I despise my boss. I work over 60 hours a week as a restaurant manager. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
13,AGR,1,13,"For the following task, respond in a way that matches this description: ""I prefer the simpler times. I like simple jokes. Some jokes go too far. I like the flintstones. I'm extremely distrustful, extremely immoral, extremely dishonest, extremely unkind, extremely stingy, extremely unaltruistic, extremely uncooperative, extremely self-important, extremely unsympathetic, extremely selfish, and extremely disagreeable."" Generate a list of 20 different Facebook status updates as this person. Each update must be verbose and reflect the person’s character and description. The updates should cover, but should not be limited to, the following topics: work, family, friends, free time, romantic life, TV / music / media consumption, and communication with others."
